Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Weather,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
74,42,Urban,Gold,88,3.5,Afternoon,Economy,77,203.836381,Cloudy,-73.99681854,40.73598862,-73.96781921,40.79391861
41,7,Rural,Gold,68,4.3,Afternoon,Premium,66,284.5088586,Rainy,-73.953172,40.787591,-74.014671,40.709887
79,23,Urban,Gold,88,3.88,Evening,Economy,164,492.1134584,Cloudy,-73.993362,40.733317,-73.995473,40.740992
53,7,Urban,Silver,64,4.55,Evening,Premium,10,86.19117981,Rainy,-73.97833,40.76347,-73.96477,40.80675
35,14,Urban,Silver,74,5,Evening,Premium,175,727.8809448,Cloudy,-73.992122,40.748577,-73.806072,40.665272
53,40,Rural,Gold,79,3.66,Afternoon,Premium,30,158.6526416,Cloudy,-73.983436,40.746818,-73.988475,40.73988
36,23,Urban,Silver,42,4.66,Night,Economy,14,44.52503661,Rainy,-73.982445,40.775478,-73.988803,40.763712
38,25,Urban,Regular,2,4.24,Night,Premium,128,452.4258269,Rainy,-73.97313,40.764152,-73.987082,40.748315
52,36,Rural,Silver,1,4.52,Night,Premium,36,152.6404792,Rainy,-73.993193,40.749672,-74.007682,40.731123
91,64,Suburban,Regular,26,4.56,Night,Premium,96,420.2245689,Rainy,-73.962199,40.776363,-73.971793,40.765764
87,5,Urban,Silver,59,4.32,Evening,Economy,42,151.3593007,Cloudy,-73.97203,40.75652,-73.98601,40.75225
96,20,Suburban,Gold,88,3.6,Afternoon,Premium,71,242.2719657,Cloudy,-73.98963,40.735626,-73.985599,40.763121
83,59,Urban,Gold,8,4.85,Night,Economy,31,119.0485544,Cloudy,-73.992378,40.728833,-73.988072,40.73502
48,23,Rural,Gold,0,4.46,Night,Economy,174,472.5695408,Rainy,-73.98022461,40.73517609,-74.01091766,40.70179749
65,19,Suburban,Silver,24,4.59,Afternoon,Economy,96,334.6493506,Sunny,-73.968164,40.800219,-73.95713,40.786022
79,29,Suburban,Silver,0,4.86,Night,Economy,127,406.0855257,Cloudy,0,0,0,0
100,22,Suburban,Silver,45,4.23,Evening,Premium,141,551.3651376,Sunny,-73.934953,40.800987,-73.941032,40.798385
73,63,Suburban,Silver,25,4.19,Night,Economy,129,534.0181946,Cloudy,-73.975506,40.75789,-73.96085,40.774992
79,67,Rural,Gold,56,4.01,Afternoon,Premium,151,501.2363001,Sunny,-73.992457,40.72877,-73.9608,40.7782
88,55,Rural,Regular,56,4,Evening,Premium,26,159.6069186,Rainy,-73.975213,40.757695,-73.99458,40.750235
76,34,Suburban,Silver,10,4.92,Night,Economy,103,359.801051,Sunny,-73.999166,40.739403,-73.988351,40.743763
49,30,Suburban,Silver,80,3.74,Evening,Economy,85,348.6695625,Rainy,-73.97068024,40.7580719,-74.00410461,40.74281311
100,64,Rural,Regular,7,4.89,Evening,Premium,115,490.504076,Cloudy,-73.961613,40.77709,-73.96409,40.799774
87,26,Rural,Gold,63,4.2,Night,Premium,118,485.6832395,Cloudy,-73.992758,40.737167,-73.970655,40.756222
22,5,Rural,Silver,93,4.85,Afternoon,Economy,99,424.9275102,Cloudy,-73.982623,40.772747,-74.004793,40.729552
21,11,Rural,Silver,23,3.76,Night,Economy,12,40.44289065,Rainy,-73.977202,40.790112,-73.981512,40.781237
93,57,Suburban,Regular,34,4.89,Night,Premium,80,258.4249153,Rainy,-73.968895,40.764276,-73.978191,40.759646
28,15,Rural,Gold,90,4.25,Evening,Premium,177,511.929391,Rainy,-73.98778,40.738603,-73.964832,40.770175
97,7,Urban,Silver,22,3.74,Night,Premium,147,441.746701,Sunny,-73.96563,40.761996,-73.964498,40.792631
48,12,Urban,Silver,51,4.63,Evening,Premium,32,175.5180543,Sunny,-73.983534,40.752177,-73.979711,40.744552
70,37,Urban,Silver,10,3.65,Evening,Premium,168,658.5834277,Rainy,-73.98123932,40.75287628,-73.9952774,40.72617722
78,12,Rural,Silver,99,4.3,Night,Economy,95,299.2909931,Cloudy,-73.968162,40.79208,-73.954524,40.778969
25,7,Rural,Regular,24,3.85,Afternoon,Premium,144,494.8027992,Sunny,-73.96973,40.756707,-73.988013,40.764767
24,9,Urban,Gold,6,4.05,Night,Premium,69,223.519012,Cloudy,-73.983922,40.755333,-73.996402,40.727303
92,37,Rural,Silver,7,4.92,Night,Premium,103,434.5710508,Rainy,-73.978252,40.754508,-73.985235,40.762977
43,33,Rural,Gold,16,4.01,Night,Premium,159,630.4284013,Sunny,-73.970091,40.758928,-73.960977,40.770837
96,23,Urban,Gold,8,4.23,Night,Premium,90,445.1254111,Rainy,-74.002136,40.750918,-73.95666,40.788512
88,46,Rural,Gold,35,4.89,Night,Premium,72,361.985521,Cloudy,-73.98741913,40.73284912,-73.97187042,40.74716949
83,43,Suburban,Regular,20,3.59,Night,Economy,63,267.2821971,Rainy,-73.969433,40.757445,-73.992628,40.737392
50,29,Urban,Regular,2,4.81,Night,Economy,143,518.954763,Sunny,-73.959571,40.76283,-73.975622,40.760601
97,75,Urban,Regular,15,4.94,Night,Economy,163,575.4934492,Sunny,-73.988312,40.724045,-73.981047,40.73623
84,24,Suburban,Regular,39,4.08,Night,Economy,86,349.4432162,Rainy,-73.982333,40.76893,-73.993554,40.747
68,40,Suburban,Silver,58,4.64,Night,Premium,68,279.2349662,Rainy,-73.984753,40.737152,-73.944553,40.700412
77,30,Urban,Regular,99,4.7,Afternoon,Premium,179,689.7483155,Sunny,-74.002865,40.733287,-74.0095,40.715502
82,67,Urban,Regular,13,4.43,Night,Economy,33,88.76294359,Cloudy,-73.961983,40.810355,-73.976615,40.786607
21,8,Suburban,Gold,37,3.71,Afternoon,Premium,171,621.7963495,Rainy,-73.983361,40.761332,-73.972963,40.780317
75,24,Rural,Regular,44,3.79,Evening,Premium,72,307.6219494,Cloudy,-73.989998,40.76197,-73.990757,40.70026
61,9,Urban,Gold,74,3.98,Afternoon,Premium,32,172.4105313,Rainy,-73.986022,40.76803,-73.976668,40.760718
90,13,Suburban,Regular,24,3.73,Night,Economy,126,444.2453021,Sunny,-73.993753,40.762232,-73.988392,40.727412
100,21,Suburban,Regular,20,3.52,Evening,Premium,163,556.8967118,Rainy,-73.982129,40.772748,-73.977427,40.784339
93,31,Suburban,Gold,13,3.58,Night,Premium,101,355.3245755,Rainy,-73.980482,40.785602,-73.968586,40.799888
92,14,Urban,Silver,57,3.73,Night,Premium,133,474.9977391,Rainy,-73.983086,40.735028,-74.008471,40.720085
61,12,Rural,Gold,59,4.72,Night,Premium,178,581.9712306,Rainy,-73.995037,40.739985,-73.978383,40.762292
53,12,Suburban,Gold,79,3.6,Evening,Premium,154,663.4393972,Rainy,-73.99124146,40.74974442,-73.98625183,40.74415588
55,21,Urban,Regular,20,3.56,Evening,Premium,134,519.4694924,Cloudy,-73.952872,40.791805,-74.003257,40.732767
57,45,Rural,Gold,78,4.43,Night,Premium,112,397.6919501,Sunny,-73.945415,40.77833,-73.955122,40.77777
34,8,Suburban,Silver,51,4.09,Night,Premium,130,388.1122299,Cloudy,-73.982557,40.771522,-73.989135,40.774365
50,11,Suburban,Silver,19,4.87,Night,Economy,144,591.100076,Sunny,-73.962038,40.810655,-73.969157,40.756785
35,22,Rural,Silver,82,3.79,Night,Economy,174,586.7988633,Sunny,-73.980421,40.720552,-73.984562,40.729687
43,14,Suburban,Regular,1,3.53,Evening,Premium,134,648.9097429,Rainy,-73.98611,40.74594,-73.991732,40.735342
50,25,Suburban,Silver,19,4.32,Evening,Economy,176,746.3391325,Cloudy,-73.98890686,40.6922226,-74.00469971,40.71613312
55,19,Urban,Regular,64,4.34,Night,Premium,129,555.0976878,Rainy,-73.993047,40.742667,-73.972472,40.764817
93,67,Urban,Silver,21,4.88,Evening,Premium,87,417.9131413,Rainy,-74.000457,40.742486,-73.923371,40.761095
94,69,Urban,Silver,86,4.12,Night,Premium,18,97.80093622,Cloudy,-73.983981,40.780489,-73.96794,40.797363
70,60,Urban,Regular,57,4.05,Night,Premium,43,193.089112,Sunny,-73.990973,40.7508,-74.005892,40.73016
36,25,Suburban,Regular,61,3.64,Evening,Economy,132,492.4640116,Cloudy,-73.962456,40.77,-73.987907,40.741126
37,9,Suburban,Silver,73,4.8,Night,Economy,124,408.8156288,Sunny,-73.96253204,40.7673912,-73.95326233,40.76465988
68,46,Urban,Gold,8,4.21,Night,Economy,116,364.1617948,Cloudy,-73.984693,40.759112,-73.994667,40.740517
77,15,Suburban,Regular,47,4.47,Night,Economy,66,228.6434979,Rainy,-73.992405,40.724391,-73.970332,40.783869
27,12,Suburban,Silver,64,4.7,Afternoon,Economy,149,667.946428,Sunny,-73.988247,40.724833,-74.006518,40.738588
90,56,Suburban,Silver,61,4.38,Evening,Premium,91,410.342709,Sunny,-74.003345,40.726957,-74.0045,40.747265
46,23,Suburban,Regular,19,4.92,Night,Economy,169,710.4192642,Sunny,-73.993808,40.75174,-73.981047,40.767624
96,80,Urban,Regular,47,3.77,Night,Economy,70,177.2030658,Rainy,-73.953837,40.775171,-73.956403,40.771586
80,6,Rural,Silver,43,4.81,Evening,Economy,24,74.32837978,Rainy,-73.98865,40.76403,-74.010412,40.720292
80,31,Suburban,Silver,91,4.61,Afternoon,Premium,127,392.3027601,Sunny,-74.000756,40.725835,-74.006186,40.743811
64,25,Suburban,Silver,85,4.46,Night,Premium,37,168.6101943,Rainy,-74.016038,40.715462,-74.01128,40.72159
57,42,Rural,Silver,36,3.59,Night,Premium,167,587.2581373,Cloudy,-74.006209,40.714462,-73.990402,40.66524
52,7,Rural,Silver,57,4.82,Evening,Economy,180,563.9803273,Sunny,-74.004083,40.742094,-73.985253,40.735788
69,56,Urban,Regular,73,4.02,Evening,Premium,116,352.3474983,Rainy,-73.987011,40.776157,-73.994649,40.75044
67,54,Suburban,Regular,53,3.67,Night,Economy,110,415.3075369,Rainy,-73.97685,40.764368,-73.911379,40.747178
25,7,Rural,Silver,13,4.07,Night,Premium,60,204.2158433,Sunny,-73.970823,40.798273,-73.955982,40.787948
80,35,Rural,Regular,29,4.49,Evening,Economy,79,319.6520701,Sunny,-73.97303,40.752042,-73.977175,40.745387
73,6,Suburban,Silver,5,4.03,Evening,Premium,71,362.0533307,Sunny,-73.973317,40.750867,-73.991122,40.747067
24,6,Urban,Regular,65,4.29,Night,Premium,106,387.4755378,Cloudy,-73.983035,40.744606,-73.975354,40.761604
37,14,Rural,Gold,18,4.36,Afternoon,Economy,85,348.8532987,Cloudy,-73.970607,40.763045,-73.95798,40.776922
27,6,Rural,Regular,74,4.75,Night,Premium,157,732.2985127,Cloudy,-73.862659,40.769994,-73.986561,40.74296
23,11,Urban,Regular,11,4.86,Night,Economy,133,343.6721334,Sunny,-73.984958,40.670825,-73.98461,40.664137
42,8,Rural,Gold,12,4.79,Night,Premium,166,599.7162532,Rainy,-73.975358,40.777341,-73.953388,40.788407
74,39,Urban,Silver,11,3.65,Night,Economy,173,484.7545389,Sunny,-73.98331,40.76596,-73.865664,40.770846
68,30,Urban,Regular,28,4.69,Evening,Premium,134,581.1514566,Cloudy,-73.971488,40.754987,-73.980705,40.746197
59,9,Suburban,Silver,30,4.83,Night,Economy,140,603.3651643,Cloudy,-73.981137,40.740717,-73.979165,40.765022
89,75,Rural,Silver,76,4.39,Afternoon,Economy,110,369.8546415,Cloudy,-73.98679,40.761328,-73.961224,40.760216
81,35,Suburban,Regular,45,4.11,Evening,Economy,174,708.8801421,Rainy,-73.992077,40.729163,-73.97976,40.74491
33,8,Suburban,Regular,74,4.52,Night,Premium,56,205.8375505,Sunny,-73.959275,40.759352,-73.78991,40.646942
75,28,Urban,Gold,49,4.46,Evening,Economy,163,684.5607033,Cloudy,0,0,0,0
87,48,Suburban,Silver,95,4.73,Night,Economy,162,453.2541299,Cloudy,-73.990793,40.750895,-73.974758,40.741923
56,37,Suburban,Silver,96,3.83,Night,Premium,130,412.584838,Cloudy,-73.956615,40.767603,-73.965367,40.769688
75,32,Urban,Silver,20,3.69,Afternoon,Premium,96,440.4442377,Rainy,-73.971212,40.76246,-74.005497,40.709082
99,54,Rural,Silver,96,3.77,Night,Premium,61,241.6407114,Rainy,-73.988975,40.748182,-74.00151,40.724912
33,16,Rural,Regular,81,4.08,Night,Premium,50,201.2925319,Cloudy,-74.00435,40.751103,-74.004582,40.752137
41,28,Rural,Gold,89,4.47,Afternoon,Premium,45,220.0511403,Rainy,-73.995176,40.750516,-73.971411,40.680955
55,19,Suburban,Silver,74,3.51,Night,Economy,173,702.913416,Sunny,-73.987447,40.733067,-74.002172,40.740632
93,51,Rural,Silver,12,4.98,Night,Premium,90,431.4216603,Sunny,-73.9850769,40.73244858,-73.99611664,40.73833847
54,35,Urban,Silver,11,4.49,Night,Premium,96,466.8626811,Sunny,-73.982832,40.770589,-73.980315,40.754798
34,20,Urban,Gold,21,4.15,Night,Premium,158,445.1263612,Cloudy,-73.962799,40.711994,-73.983766,40.679293
86,18,Suburban,Silver,61,4.3,Night,Premium,126,441.6378571,Sunny,-73.99276,40.753425,-73.953695,40.799692
85,27,Suburban,Gold,8,4.11,Evening,Premium,157,669.5210117,Cloudy,-73.973638,40.757932,-73.997785,40.724342
74,5,Suburban,Regular,80,3.63,Evening,Economy,134,354.3852115,Cloudy,-73.996488,40.715461,-73.962013,40.675299
63,53,Rural,Gold,33,4.33,Night,Economy,175,489.7125243,Rainy,-73.86279,40.768853,-73.910578,40.781952
55,13,Suburban,Silver,45,3.71,Night,Premium,40,222.568582,Rainy,-73.96678,40.757327,-73.982874,40.739181
100,66,Suburban,Gold,27,3.53,Afternoon,Premium,106,412.2556068,Sunny,-73.977737,40.78684,-74.00841,40.736417
51,27,Urban,Gold,86,3.82,Afternoon,Premium,152,472.2157353,Rainy,-74.0139,40.7078,-73.9923,40.7493
37,10,Urban,Silver,33,4.86,Night,Economy,44,179.9398803,Sunny,-73.99692,40.72064,-73.98808,40.74819
99,71,Suburban,Gold,3,4.63,Night,Premium,100,308.9111533,Cloudy,-73.97252,40.753437,-73.968294,40.760745
54,24,Rural,Silver,85,3.79,Afternoon,Economy,102,306.3142432,Rainy,-73.987862,40.738565,-73.999763,40.72195
30,7,Rural,Gold,57,4.27,Night,Premium,69,224.4648783,Sunny,-73.965141,40.791169,-73.970858,40.795761
84,56,Urban,Silver,71,4.56,Afternoon,Premium,15,101.0737865,Cloudy,-74.00157,40.746642,-73.983258,40.775935
49,14,Suburban,Silver,55,4.43,Night,Premium,131,633.4966221,Rainy,-73.786907,40.640095,-73.926152,40.752918
86,10,Urban,Silver,98,4.8,Night,Economy,18,62.87509274,Sunny,-73.974902,40.763257,-73.989848,40.752
48,24,Rural,Gold,17,3.98,Night,Economy,29,92.03104706,Sunny,-73.948065,40.71932,-73.981378,40.725583
67,18,Urban,Silver,78,3.81,Night,Premium,22,106.7358926,Cloudy,-73.979315,40.776897,-73.986242,40.780575
100,16,Rural,Gold,96,3.65,Evening,Premium,163,560.6703257,Sunny,-73.996055,40.725228,-73.994737,40.719624
79,7,Rural,Silver,31,4.82,Evening,Economy,100,322.9000695,Cloudy,-73.977711,40.751507,-74.010709,40.709197
99,9,Rural,Silver,33,4.98,Night,Economy,110,292.3393609,Cloudy,-73.962483,40.773237,-73.982075,40.779066
34,24,Urban,Silver,3,4.41,Night,Economy,97,242.751717,Sunny,0,0,-73.97980499,40.78602982
54,21,Urban,Silver,23,4.44,Afternoon,Premium,136,442.7796306,Rainy,-73.95896,40.759771,-73.968562,40.757476
77,43,Suburban,Regular,73,4.07,Night,Premium,131,505.5467165,Rainy,-73.93961,40.841325,-73.91253,40.76911
80,21,Urban,Regular,85,4.21,Night,Premium,146,474.9171618,Sunny,-73.98522,40.723707,-73.99152,40.735177
74,54,Urban,Regular,16,4.35,Night,Premium,147,617.4346784,Rainy,-73.971685,40.762707,-73.995203,40.759983
57,38,Urban,Regular,31,3.97,Night,Premium,64,294.8553699,Cloudy,-73.98944855,40.73759079,-73.97264862,40.75937271
97,66,Urban,Silver,90,3.6,Afternoon,Premium,150,717.467322,Sunny,-73.994087,40.751154,-73.982028,40.758136
52,14,Suburban,Gold,97,4.83,Afternoon,Premium,66,266.977217,Rainy,-73.98158,40.763143,-74.000254,40.759134
51,37,Rural,Regular,34,4.64,Night,Economy,100,383.3711771,Sunny,-74.015043,40.714613,-74.007943,40.705562
87,52,Urban,Gold,15,3.57,Evening,Economy,66,266.4336179,Cloudy,-73.973467,40.757442,-73.997367,40.724577
91,42,Suburban,Silver,76,4.96,Night,Economy,86,336.3943924,Rainy,-74.007169,40.713268,-73.986911,40.725255
85,34,Rural,Regular,66,4.59,Night,Premium,163,764.8593556,Sunny,-73.989765,40.75674,-73.9832,40.761088
57,21,Rural,Silver,28,4.93,Evening,Economy,141,588.6941798,Rainy,-73.968733,40.786187,-73.980648,40.774107
28,8,Urban,Regular,67,3.78,Night,Premium,58,305.2426677,Cloudy,-73.990382,40.756108,-73.988758,40.739479
58,30,Urban,Regular,32,4.14,Evening,Economy,75,256.3738037,Sunny,-73.966798,40.804314,-73.982236,40.775824
31,9,Rural,Gold,18,4.42,Night,Premium,114,461.0193486,Cloudy,-73.928705,40.753475,-73.928705,40.753475
27,11,Suburban,Gold,88,4.5,Afternoon,Premium,144,581.7472844,Cloudy,-74.005559,40.745773,-73.976892,40.736789
90,75,Urban,Gold,88,4.1,Night,Economy,106,472.5465909,Sunny,-73.97785,40.726059,-73.979853,40.727001
54,8,Suburban,Regular,41,3.89,Night,Economy,168,573.4835718,Sunny,-73.955365,40.76489,-73.957835,40.767198
23,9,Suburban,Silver,50,3.84,Afternoon,Premium,34,192.3850222,Rainy,-73.985763,40.767742,-73.97381,40.753972
94,64,Urban,Regular,62,4.87,Evening,Economy,166,744.0359811,Rainy,-73.789747,40.648142,-73.985225,40.744325
86,20,Suburban,Silver,51,3.75,Night,Premium,110,412.2574631,Cloudy,-73.969563,40.790342,-73.99117,40.760643
79,55,Suburban,Regular,91,4.39,Night,Economy,48,189.560565,Rainy,-73.97529,40.762167,-73.978365,40.750115
73,13,Urban,Regular,93,3.95,Evening,Economy,90,357.0434722,Rainy,-73.978615,40.753807,-73.96386,40.771023
74,23,Urban,Regular,45,4.07,Night,Premium,99,417.1740954,Sunny,-73.991653,40.684999,-73.968497,40.674008
26,11,Urban,Gold,10,4.22,Night,Premium,69,314.8447103,Cloudy,-73.974151,40.747188,-73.99212,40.738022
99,30,Urban,Regular,74,4.21,Night,Premium,160,629.9546011,Rainy,-73.99364,40.7525,-73.98147,40.7558
80,42,Urban,Gold,85,4.22,Evening,Economy,131,473.561754,Rainy,-74.001552,40.746532,-73.977492,40.76431
78,35,Rural,Regular,5,4.35,Afternoon,Premium,100,317.8809578,Rainy,-73.961988,40.773478,-73.967392,40.787932
63,6,Urban,Gold,29,4.79,Afternoon,Premium,24,132.4992195,Cloudy,-73.87081909,40.77368164,-73.97480774,40.63471985
25,8,Rural,Regular,30,4.44,Evening,Economy,115,430.785851,Rainy,-73.981443,40.741223,-73.97009,40.756593
100,50,Urban,Regular,20,4.14,Afternoon,Economy,127,350.2265836,Cloudy,-73.996386,40.748545,-74.010177,40.719637
46,8,Urban,Silver,32,4.81,Night,Economy,112,466.4274793,Sunny,-73.979605,40.735331,-73.965554,40.754758
59,29,Urban,Regular,90,4.3,Evening,Economy,145,651.730389,Rainy,-73.99002838,40.73450851,-73.96251678,40.77288437
21,11,Rural,Gold,18,4.2,Night,Premium,49,266.3480732,Sunny,-73.96212,40.776277,-73.979177,40.783587
64,7,Rural,Silver,48,4.67,Afternoon,Economy,64,266.3853768,Cloudy,-73.977352,40.760313,-73.959138,40.759398
52,22,Suburban,Gold,72,3.6,Night,Premium,101,303.8032264,Rainy,-73.988257,40.737727,-73.986637,40.739952
100,56,Suburban,Silver,67,4.2,Afternoon,Economy,169,461.9661914,Sunny,-73.92217,40.818883,-73.923458,40.816345
83,72,Rural,Regular,25,4.62,Evening,Premium,45,201.0575406,Rainy,-73.949565,40.77688,-73.953507,40.806867
89,10,Rural,Silver,36,4.12,Night,Premium,13,94.21444739,Sunny,-73.936407,40.76023,-73.916337,40.764532
100,37,Rural,Silver,47,4.7,Night,Economy,142,546.8574477,Sunny,-73.946142,40.781162,-73.965843,40.80514
71,7,Urban,Gold,31,4.83,Night,Premium,60,292.7468301,Cloudy,-73.973387,40.784707,-73.98787,40.751617
94,26,Suburban,Regular,0,3.94,Night,Premium,40,150.9060377,Rainy,-73.990233,40.741791,-74.009532,40.704917
52,23,Urban,Regular,41,4.23,Afternoon,Economy,134,534.9066334,Sunny,0,0,0,0
27,15,Urban,Silver,31,4.95,Night,Economy,103,315.265403,Sunny,-73.989575,40.758767,-73.969325,40.76603
88,62,Urban,Regular,62,4.82,Night,Economy,162,601.2360266,Cloudy,-73.967425,40.760568,-73.976065,40.776113
48,38,Suburban,Silver,64,4.97,Evening,Premium,152,701.469573,Cloudy,-73.97845,40.736707,-73.934902,40.810442
53,35,Suburban,Regular,1,3.67,Night,Premium,88,392.0078846,Cloudy,-73.973048,40.76212,-73.952492,40.766412
31,12,Suburban,Gold,34,4.7,Evening,Economy,105,331.8375249,Sunny,-73.980082,40.765167,-73.98237,40.770162
56,34,Suburban,Silver,1,4.56,Night,Economy,121,307.5259291,Sunny,-73.961784,40.755718,-73.97615,40.760831
48,35,Rural,Gold,47,4.26,Night,Economy,26,68.271745,Rainy,-74.004273,40.747427,-73.986342,40.762392
93,66,Suburban,Silver,22,3.91,Evening,Economy,180,765.4397486,Cloudy,-73.99152,40.729727,-74.006927,40.729435
49,18,Rural,Silver,62,4.92,Night,Economy,62,168.3662892,Rainy,-73.973711,40.759206,-73.951506,40.8228
72,33,Rural,Gold,63,4.25,Afternoon,Economy,132,351.773619,Sunny,-73.951825,40.781593,-73.98133,40.76369
62,11,Suburban,Gold,37,4.23,Night,Premium,71,363.345753,Rainy,-74.00302124,40.74802017,-74.00689697,40.72520447
39,15,Suburban,Regular,53,4.6,Afternoon,Premium,38,201.7146763,Cloudy,-73.776736,40.645518,-73.994633,40.719009
67,56,Urban,Gold,49,4.22,Night,Premium,23,121.439999,Cloudy,-73.98113,40.747072,-73.992207,40.730563
88,15,Urban,Regular,39,4.51,Night,Economy,137,598.7750233,Cloudy,-73.974797,40.750455,-73.982217,40.736053
29,16,Urban,Silver,75,4.11,Night,Premium,80,371.1242881,Cloudy,-73.979348,40.750788,-74.010858,40.714418
100,24,Urban,Silver,88,4.49,Evening,Economy,56,173.6669675,Rainy,-74.014665,40.714253,-74.01273,40.70823
98,43,Suburban,Gold,62,4.98,Night,Economy,130,538.518528,Cloudy,-73.980037,40.745632,-73.973706,40.748954
35,10,Rural,Gold,40,3.54,Evening,Economy,75,281.962567,Rainy,-73.97879028,40.76677704,-73.9862442,40.7458725
58,14,Rural,Gold,10,3.77,Night,Economy,95,258.0144597,Sunny,-73.992338,40.730622,-73.972721,40.758221
22,7,Urban,Gold,53,4.43,Night,Premium,98,476.2019962,Rainy,-73.984891,40.769314,-73.989604,40.730931
84,37,Suburban,Regular,94,3.83,Evening,Economy,28,124.6455032,Sunny,-74.005755,40.740463,-73.98037,40.749253
91,14,Suburban,Silver,19,4.78,Evening,Premium,19,111.1127149,Rainy,-73.99512482,40.76010132,-73.98626709,40.77213669
56,29,Urban,Gold,67,4.49,Night,Economy,125,421.8171879,Cloudy,0,0,0,0
97,21,Rural,Regular,36,3.72,Afternoon,Premium,23,134.0510145,Sunny,-73.976657,40.75182,-73.990708,40.750923
57,47,Urban,Gold,26,3.8,Night,Economy,30,132.4032477,Sunny,-74.008374,40.720834,-73.977585,40.75193
94,27,Suburban,Silver,100,3.6,Evening,Premium,172,547.9814624,Rainy,-73.986831,40.747747,-73.991409,40.715867
84,6,Suburban,Gold,24,3.74,Night,Economy,68,281.9682458,Sunny,-73.97712,40.745432,-73.974743,40.750415
40,11,Rural,Silver,1,4.24,Evening,Premium,35,182.4663214,Rainy,-73.974914,40.751661,-73.981833,40.737164
65,36,Suburban,Silver,20,4.39,Evening,Premium,87,313.7742266,Cloudy,-73.979551,40.757373,-73.863096,40.901391
35,22,Urban,Silver,28,4.88,Night,Premium,116,422.886661,Rainy,-73.979333,40.742212,-73.993858,40.751518
40,30,Urban,Regular,67,4.03,Afternoon,Premium,143,529.6967147,Sunny,-73.996418,40.732352,-73.977412,40.746833
61,45,Urban,Silver,6,4.99,Afternoon,Economy,10,25.99344945,Rainy,-73.955878,40.76737,-73.967555,40.763067
50,14,Urban,Gold,98,3.52,Evening,Premium,109,351.5699575,Rainy,-73.981145,40.774175,-73.985245,40.729167
98,25,Suburban,Silver,30,4.76,Night,Economy,60,154.6871597,Cloudy,-73.862687,40.768982,-73.986057,40.754168
54,37,Suburban,Regular,41,4.69,Night,Premium,16,106.5920823,Sunny,-73.947483,40.77117,-73.98988,40.73697
37,13,Rural,Regular,31,4.66,Night,Economy,35,132.1665679,Sunny,-73.982596,40.751014,-73.999047,40.722874
78,41,Urban,Silver,12,4.99,Night,Economy,22,76.22496122,Sunny,-74.003558,40.726427,-73.981793,40.757147
84,21,Rural,Gold,88,3.5,Night,Economy,146,598.94004,Rainy,-73.787044,40.641077,-73.786471,40.641836
44,32,Suburban,Silver,51,4.2,Night,Premium,168,563.1508996,Rainy,-74.002515,40.719872,-73.994063,40.721043
25,11,Urban,Silver,92,3.91,Evening,Economy,115,310.1546163,Cloudy,-73.98316,40.735692,-73.986872,40.739433
38,13,Urban,Gold,38,4.46,Afternoon,Premium,28,145.1375686,Rainy,-73.982608,40.772337,-73.95504,40.745817
85,25,Urban,Silver,21,4.03,Night,Economy,73,323.5576858,Sunny,-73.985613,40.762795,-73.969266,40.797898
31,13,Suburban,Gold,87,4.04,Afternoon,Economy,11,31.56567616,Rainy,-74.00542,40.739482,-74.002707,40.733577
67,6,Rural,Regular,25,4.45,Afternoon,Premium,31,144.4626376,Cloudy,-74.008141,40.738943,-73.987765,40.752772
77,11,Rural,Silver,70,3.82,Evening,Premium,63,252.4930471,Sunny,-73.995105,40.732125,-74.008402,40.738292
32,11,Suburban,Silver,30,3.53,Night,Premium,32,146.5127744,Rainy,-73.999717,40.73835,-73.992147,40.72537
71,30,Rural,Regular,60,4.83,Afternoon,Premium,156,501.80135,Rainy,-73.987622,40.758267,-74.007844,40.705176
65,38,Urban,Regular,13,4.77,Night,Premium,132,610.7325515,Rainy,-73.995468,40.749305,-74.00689,40.708035
64,29,Urban,Silver,66,3.79,Evening,Premium,37,194.2623994,Sunny,-73.98665,40.739855,-74.007815,40.75004
48,38,Urban,Silver,45,4.17,Night,Economy,87,318.210126,Sunny,-73.989002,40.73057,-73.954393,40.799867
76,42,Rural,Gold,95,3.93,Night,Economy,180,512.6251102,Sunny,-73.999977,40.727231,-73.999813,40.719267
76,53,Urban,Regular,77,3.67,Night,Premium,179,555.8919188,Cloudy,-74.007721,40.725855,-73.97808,40.752019
71,14,Suburban,Silver,8,4.44,Evening,Economy,76,242.1588608,Cloudy,-73.982321,40.768729,-73.921654,40.660043
76,9,Urban,Silver,64,4.16,Afternoon,Economy,10,41.40499128,Cloudy,-73.994312,40.740935,-73.984237,40.754502
51,14,Rural,Gold,16,3.51,Evening,Premium,30,180.8865537,Rainy,-73.973294,40.755027,-73.979022,40.747021
88,38,Rural,Gold,29,3.73,Afternoon,Premium,167,537.8971059,Rainy,-74.002382,40.734405,-74.01352,40.707072
60,24,Rural,Gold,5,3.79,Night,Premium,154,556.6629286,Rainy,-73.974378,40.744052,-73.979914,40.761059
73,55,Rural,Regular,55,4.2,Night,Economy,52,158.5563431,Sunny,-73.985044,40.732313,-73.975437,40.730103
